"lon","lat"
NA,NA
-83.092925,9.999278
-83.090871,9.997811
-83.088524,9.996638
-83.086177,9.995464
-83.083831,9.994291
-83.081777,9.993117
-83.079724,9.991651
-83.077083,9.990477
-83.074443,9.98989
-83.071803,9.990184
-83.070043,9.991944
-83.068283,9.993704
-83.067403,9.996344
-83.067109,9.999278
NA,NA
-83.021346,9.999571
-83.019586,9.997518
-83.017826,9.995758
-83.017239,9.993411
-83.017533,9.98989
-83.018119,9.986957
-83.018999,9.984023
-83.019586,9.98197
-83.019879,9.978743
-83.019879,9.975223
-83.019879,9.971996
-83.019586,9.969062
-83.018999,9.966422
-83.017826,9.963782
-83.016652,9.961728
-83.015479,9.959088
-83.014599,9.956741
-83.013132,9.954688
-83.011665,9.952634
-83.010785,9.950288
-83.009025,9.948527
-83.007559,9.946474
-83.005798,9.944714
-83.004038,9.942954
-83.003158,9.941194
-83.001105,9.93914
-82.999638,9.937087
-82.998465,9.935327
-82.996704,9.933273
-82.994944,9.931513
-82.993771,9.929459
-82.992597,9.927113
-82.990837,9.925352
-82.989664,9.923006
-82.988197,9.921246
-82.987024,9.918899
-82.985557,9.916845
-82.98409,9.914792
-82.982917,9.912738
-82.980863,9.910978
-82.97969,9.908925
-82.977636,9.907164
-82.976756,9.905404
-82.974703,9.903644
-82.973236,9.901297
-82.971769,9.899831
-82.970302,9.897484
-82.968542,9.895724
-82.967369,9.893964
-82.965315,9.892203
-82.963555,9.89015
-82.962382,9.88839
-82.960622,9.88663
-82.959155,9.884576
-82.957395,9.882816
-82.955928,9.880763
-82.954168,9.879296
-82.952408,9.876949
-82.950941,9.875189
-82.949181,9.873722
-82.947421,9.871375
-82.945954,9.869615
-82.944487,9.867855
-82.942434,9.866095
-82.940967,9.863748
-82.939794,9.861988
-82.938034,9.860228
-82.936567,9.858174
-82.935393,9.856121
-82.933927,9.853774
-82.93246,9.852014
-82.930993,9.849667
-82.930406,9.847614
-82.929233,9.844973
-82.927766,9.84292
-82.926299,9.840866
-82.925419,9.838226
-82.923953,9.836466
-82.922486,9.834413
-82.921312,9.832066
-82.920139,9.830012
-82.918379,9.827665
-82.916912,9.825905
-82.915445,9.823558
-82.913978,9.821798
-82.912512,9.820038
-82.910458,9.817985
-82.909578,9.816225
-82.907818,9.814465
-82.906351,9.812118
-82.904591,9.810651
-82.903124,9.808597
-82.901951,9.806251
-82.899897,9.804784
-82.898724,9.80273
-82.897257,9.800677
-82.895497,9.798917
-82.89403,9.796863
-82.89227,9.795103
-82.891097,9.79305
-82.88963,9.790996
-82.888163,9.789236
-82.88611,9.787476
-82.884643,9.785422
-82.883176,9.783956
-82.881416,9.781902
-82.879656,9.780142
-82.878189,9.778675
-82.876136,9.776915
-82.874376,9.775155
-82.873202,9.773102
-82.871442,9.771341
-82.869682,9.769581
-82.867922,9.767821
-82.866455,9.765768
-82.864988,9.764008
-82.863815,9.761661
-82.862348,9.759607
-82.861468,9.75726
-82.860001,9.755207
-82.858241,9.753153
-82.857361,9.750807
-82.856188,9.748753
-82.854721,9.7467
-82.852961,9.744353
-82.851494,9.742886
-82.849147,9.741419
-82.847094,9.739952
-82.84504,9.738486
-82.842987,9.737312
-82.840933,9.735846
-82.83888,9.734379
-82.836533,9.733499
-82.833893,9.732619
-82.831253,9.731739
-82.827732,9.731445
-82.825092,9.731152
-82.821572,9.730859
-82.818638,9.731152
-82.816291,9.732619
-82.814531,9.733792
-82.813065,9.735846
-82.811304,9.737606
-82.809838,9.739366
-82.807491,9.740833
-82.804851,9.741126
-82.80309,9.739366
-82.802504,9.736432
-82.802504,9.733499
-82.803677,9.731445
-82.804557,9.728512
-82.805437,9.726165
-82.806024,9.723231
-82.806904,9.720884
-82.807197,9.717364
-82.806904,9.714431
-82.806317,9.711497
-82.806024,9.71091
-82.806317,9.71091
-82.805437,9.70827
-82.804851,9.70563
-82.804264,9.702696
-82.80309,9.700643
-82.801917,9.698003
-82.80045,9.695949
-82.79957,9.693896
-82.797517,9.691842
-82.79605,9.689789
-82.794583,9.688029
-82.793116,9.685975
-82.791356,9.684215
-82.789596,9.682162
-82.788716,9.680402
-82.787543,9.677761
-82.786076,9.675415
-82.785196,9.673361
-82.783436,9.671014
-82.781969,9.669254
-82.780209,9.667494
-82.779035,9.665147
-82.777275,9.66368
-82.775809,9.661627
-82.774342,9.659573
-82.772288,9.658107
-82.770528,9.656346
-82.768475,9.65488
-82.766128,9.654
-82.763781,9.652533
-82.761434,9.651359
-82.759087,9.650479
-82.757034,9.649306
-82.754687,9.648133
-82.75146,9.648426
-82.74882,9.649306
-82.745886,9.649599
-82.742953,9.649306
-82.740019,9.648719
-82.737966,9.647253
-82.735912,9.645492
-82.734152,9.644026
-82.731805,9.642559
-82.729459,9.641385
-82.727112,9.640212
-82.724765,9.639332
-82.721538,9.638745
-82.718898,9.638452
-82.715378,9.638452
-82.711857,9.638452
-82.70951,9.637278
-82.707457,9.635812
-82.705403,9.634345
-82.703057,9.633171
-82.700416,9.631998
-82.69719,9.631998
-82.694549,9.632878
-82.692496,9.634052
-82.689856,9.634932
-82.687509,9.636105
-82.684575,9.636398
-82.681935,9.635225
-82.680175,9.633465
-82.678415,9.631998
-82.676655,9.630238
-82.674601,9.628771
-82.671668,9.629065
-82.669028,9.628478
-82.665801,9.628184
-82.662867,9.627598
-82.65964,9.627011
-82.657587,9.628184
-82.654653,9.629065
-82.652893,9.630531
-82.650546,9.631705
-82.648199,9.632585
-82.645266,9.631705
-82.642919,9.630238
-82.640572,9.629358
-82.637932,9.629358
-82.634998,9.629945
-82.632065,9.630238
-82.628838,9.630531
-82.626198,9.629945
-82.623558,9.628771
-82.621797,9.627598
-82.620037,9.625838
-82.618277,9.623491
-82.617397,9.621437
-82.61681,9.618504
-82.61593,9.616157
-82.614757,9.61381
-82.613584,9.611463
-82.61241,9.608823
-82.611237,9.607063
-82.610063,9.604716
-82.608303,9.602663
-82.606543,9.601196
-82.605076,9.599142
-82.603316,9.597382
-82.601556,9.595915
-82.599796,9.594155
-82.598036,9.592395
-82.596276,9.590928
-82.594222,9.589168
-82.592462,9.587408
-82.590702,9.585941
-82.589235,9.584181
-82.586888,9.582715
-82.585422,9.581248
-82.583368,9.579781
-82.581608,9.578021
-82.579261,9.576847
-82.576914,9.575674
-82.574567,9.574501
-82.572514,9.573034
-82.570167,9.571567
-82.568407,9.570394
-82.56606,9.568927
-82.5643,9.56746
-82.561953,9.565993
-82.561073,9.5657
NA,NA
-77.889404,7.226785
-77.891751,7.227372
-77.893805,7.229132
-77.896445,7.229719
-77.899672,7.230306
-77.902605,7.230599
-77.905832,7.231186
-77.908472,7.231772
-77.910819,7.233239
-77.91346,7.234119
-77.91522,7.235879
-77.91698,7.23764
-77.918447,7.2394
-77.91962,7.241746
-77.920793,7.243507
-77.922553,7.245853
-77.923727,7.247907
-77.9249,7.24996
-77.926367,7.252014
-77.927247,7.254361
-77.928421,7.256708
-77.930181,7.258468
-77.931941,7.259934
-77.934288,7.261401
-77.935754,7.263455
-77.938101,7.264041
-77.940155,7.265802
-77.942208,7.266975
-77.944262,7.268735
-77.945728,7.270202
-77.947782,7.271669
-77.950129,7.273135
-77.951596,7.274602
-77.953356,7.276656
-77.954822,7.278416
-77.956583,7.279883
-77.958636,7.281349
-77.960396,7.283403
-77.961863,7.28487
-77.963623,7.28663
-77.965383,7.288683
-77.966557,7.290443
-77.968023,7.29279
-77.968903,7.295137
-77.97037,7.29719
-77.971544,7.299244
-77.973597,7.300417
-77.975064,7.302764
-77.976824,7.304524
-77.978584,7.306284
-77.980051,7.308045
-77.982104,7.309511
-77.983865,7.310978
-77.985331,7.313032
-77.986798,7.314792
-77.988852,7.316259
-77.990612,7.318019
-77.992665,7.319779
-77.994132,7.321246
-77.996479,7.322712
-77.998826,7.323886
-78.000879,7.325353
-78.002933,7.326526
-78.004693,7.327993
-78.00704,7.329459
-78.008506,7.33122
-78.00968,7.333273
-78.011147,7.335327
-78.01232,7.337673
-78.0132,7.340314
-78.013493,7.342954
-78.014373,7.345887
-78.01496,7.348527
-78.01584,7.350874
-78.016134,7.353808
-78.017014,7.356741
-78.017307,7.359675
-78.016427,7.362609
-78.015253,7.364955
-78.01408,7.367302
-78.0132,7.369649
-78.012613,7.372289
-78.01144,7.374929
-78.011147,7.378156
-78.010853,7.38109
-78.010853,7.38461
-78.011147,7.38725
-78.012907,7.389304
-78.014667,7.390771
-78.017894,7.391357
-78.020534,7.390477
-78.023174,7.389597
-78.025521,7.389304
-78.028748,7.388424
-78.031975,7.388717
-78.034028,7.38989
-78.035495,7.391651
-78.035788,7.394584
-78.035202,7.397518
-78.034028,7.399865
-78.032855,7.401918
-78.031975,7.404852
-78.031681,7.407198
-78.033441,7.409545
-78.034322,7.411305
-78.035202,7.414239
-78.035788,7.416879
-78.036375,7.419813
-78.037255,7.422159
-78.039602,7.423333
-78.042829,7.423626
-78.045762,7.423333
-78.048403,7.422453
-78.050749,7.421279
-78.053096,7.420106
-78.054856,7.418346
-78.056616,7.417172
-78.05955,7.416292
-78.062777,7.415999
-78.065417,7.416879
-78.067764,7.418052
-78.069524,7.419813
-78.071578,7.420986
-78.072751,7.423333
-78.074218,7.42568
-78.075391,7.427733
-78.075978,7.430373
-78.077151,7.43272
-78.078325,7.434774
-78.080965,7.435947
-78.083312,7.436827
-78.085659,7.438001
-78.088005,7.439174
-78.090059,7.440641
-78.092406,7.441521
-78.094459,7.442988
-78.096513,7.444454
-78.098859,7.445628
-78.100913,7.446801
-78.10326,7.447975
-78.105313,7.449441
-78.107367,7.450908
-78.10942,7.452082
-78.11118,7.453842
-78.112354,7.456189
-78.113821,7.457949
-78.114701,7.460589
-78.115874,7.462936
-78.116754,7.465283
-78.117341,7.467923
-78.117928,7.470563
-78.118808,7.473203
-78.119688,7.476137
-78.119981,7.478777
-78.121154,7.481124
-78.122034,7.483471
-78.124088,7.484937
-78.126435,7.486111
-78.128488,7.487577
-78.130835,7.488751
-78.133182,7.489924
-78.134942,7.491391
-78.137582,7.492565
-78.139342,7.494031
-78.141103,7.495791
-78.143449,7.496965
-78.144623,7.499018
-78.146383,7.500485
-78.148143,7.502832
-78.149023,7.504592
-78.150196,7.507232
-78.150196,7.510166
-78.150196,7.513393
-78.149316,7.516033
-78.15137,7.5175
-78.15401,7.518673
-78.154303,7.521313
-78.15489,7.524247
-78.156357,7.526007
-78.158704,7.525714
-78.160464,7.524247
-78.161637,7.5219
-78.162224,7.51926
-78.162224,7.515446
-78.161931,7.512806
-78.161051,7.510166
-78.162517,7.508112
-78.164864,7.507232
-78.167798,7.507232
-78.170145,7.508699
-78.171905,7.509872
-78.173078,7.512219
-78.174545,7.514273
-78.175425,7.51662
-78.175718,7.519846
-78.176012,7.52278
-78.176012,7.526007
-78.175425,7.529234
-78.174838,7.531874
-78.173371,7.534221
-78.171905,7.535981
-78.170145,7.537741
-78.168678,7.539795
-78.167798,7.542141
-78.166918,7.544782
-78.166624,7.548302
-78.167211,7.551529
-78.167798,7.554169
-78.167798,7.557396
-78.166918,7.560329
-78.165744,7.562383
-78.165158,7.56561
-78.166038,7.56825
-78.166624,7.571183
-78.168384,7.57265
-78.170145,7.57441
-78.172785,7.575584
-78.175425,7.576171
-78.178652,7.576757
-78.181585,7.576464
-78.184226,7.57529
-78.186279,7.57441
-78.188626,7.57265
-78.189799,7.570597
-78.191853,7.569423
-78.19332,7.567077
-78.193906,7.564143
-78.19332,7.561209
-78.193906,7.557983
-78.195666,7.556516
-78.19772,7.555049
-78.20036,7.556222
-78.20124,7.558569
-78.20212,7.561209
-78.202414,7.56385
-78.203294,7.56649
-78.203587,7.569423
-78.202707,7.572357
-78.201534,7.57441
-78.199773,7.576171
-78.198307,7.577931
-78.196546,7.579984
-78.19508,7.581744
-78.193613,7.583504
-78.192733,7.586438
-78.192146,7.589078
-78.192146,7.592598
-78.19244,7.595532
-78.19332,7.598172
-78.194493,7.600519
-78.196253,7.602279
-78.197133,7.604333
-78.199187,7.605799
-78.201534,7.607266
-78.203294,7.608733
-78.205347,7.609906
-78.207401,7.611373
-78.209161,7.613133
-78.210921,7.614893
-78.212681,7.616653
-78.214441,7.618414
-78.215908,7.620174
-78.217375,7.621934
-78.219721,7.623401
-78.221775,7.624867
-78.224122,7.625747
-78.226175,7.627508
-78.227642,7.629268
-78.228815,7.631321
-78.230576,7.633668
-78.231456,7.635721
-78.232042,7.638655
-78.232922,7.641295
-78.233509,7.643935
-78.234683,7.645989
-78.236736,7.647749
-78.23879,7.649216
-78.24055,7.650976
-78.242603,7.652149
-78.244657,7.653616
-78.24671,7.655083
-78.24847,7.65655
-78.24935,7.658896
-78.25111,7.660657
-78.253751,7.661243
-78.256977,7.661537
-78.259618,7.661243
-78.261965,7.659777
-78.264898,7.659483
-78.266952,7.661243
-78.267245,7.66447
-78.266658,7.667404
-78.266658,7.670337
-78.267245,7.672977
-78.268125,7.675324
-78.269298,7.677378
-78.271352,7.678845
-78.273699,7.680311
-78.275752,7.681485
-78.279566,7.681485
-78.282499,7.681191
-78.28514,7.682071
-78.2869,7.683538
-78.287486,7.686472
-78.28778,7.689405
-78.287193,7.692339
-78.286606,7.695272
-78.28602,7.698206
-78.28514,7.700846
-78.284259,7.703193
-78.282793,7.705246
-78.281326,7.7073
-78.279566,7.708767
-78.277806,7.710527
-78.276339,7.71258
-78.275165,7.714634
-78.274579,7.717567
-78.273699,7.720208
-78.273112,7.723434
-78.273112,7.726661
-78.273699,7.729301
-78.274285,7.732528
-78.274579,7.735169
-78.275459,7.737809
-78.277219,7.739862
-78.278099,7.742209
-78.279272,7.744556
-78.280739,7.746316
-78.281619,7.748956
-78.283086,7.75101
-78.284553,7.753063
-78.28514,7.75541
-78.286606,7.757464
-78.288073,7.75981
-78.28954,7.76157
-78.29042,7.764211
-78.291593,7.765971
-78.292767,7.768611
-78.293353,7.771251
-78.295114,7.773011
-78.2957,7.775651
-78.297167,7.777705
-78.29834,7.780052
-78.299514,7.782105
-78.300687,7.784159
-78.302154,7.786506
-78.303327,7.788266
-78.305088,7.790613
-78.305968,7.792373
-78.307434,7.79472
-78.308901,7.796773
-78.310661,7.79824
-78.311835,7.800587
-78.313302,7.80264
-78.314768,7.804694
-78.315942,7.806747
-78.317115,7.808801
