"lon","lat"
NA,NA
-80.038812,9.065824
-79.994222,9.086946
-79.883921,9.110414
-79.851065,9.23949
-79.862799,9.46948
-79.719642,9.591515
-79.487306,9.612637
-79.254969,9.612637
-79.156402,9.600903
-79.111812,9.546925
-78.9358,9.502335
-78.726931,9.46948
-78.52745,9.415503
-78.29746,9.361525
-78.097979,9.251224
-77.954822,9.131535
-77.832787,9.021234
-77.713098,8.934401
-77.569942,8.781857
NA,NA
-77.900845,7.24468
-78.065124,7.408959
-78.229402,7.596705
-78.363172,7.904141
-78.339703,8.068419
-78.29746,8.298409
-78.196546,8.375855
-78.065124,8.375855
-78.187159,8.486156
-78.440617,8.429832
-78.583774,8.626966
-78.837232,8.791244
-79.078957,8.922667
-79.344149,8.967257
-79.642197,8.856956
-79.740764,8.68329
-79.907389,8.429832
NA,NA
-77.900845,7.24468
-77.900845,7.20009
-77.844521,7.101523
-77.745954,6.937245
-77.722486,6.859799
-77.635653,6.716642
-77.480762,6.672052
-77.41505,6.585219
-77.41505,6.409207
-77.424438,6.26605
-77.480762,6.144014
-77.424438,5.935146
-77.370461,5.791989
-77.370461,5.669954
-77.436172,5.61363
-77.525352,5.526797
-77.501883,5.515063
-77.469028,5.33905
-77.447906,5.008146
-77.391582,4.764075
-77.358726,4.632653
-77.370461,4.477761
-77.45964,4.290015
-77.492496,4.102268
-77.45964,3.935643
-77.41505,3.858197
-77.325871,3.858197
-77.084147,3.902787
-76.950377,3.956764
-77.060678,3.747896
-77.138124,3.682184
-77.227304,3.548415
-77.370461,3.405258
-77.480762,3.294957
-77.534739,3.161187
-77.635653,3.06262
-77.680243,2.907729
-77.767076,2.717635
-77.856255,2.663658
-78.032268,2.607334
-78.154303,2.619068
-78.384293,2.574478
-78.461739,2.562744
-78.583774,2.398466
-78.637751,2.252962
-78.682341,2.121539
-78.66122,1.931445
-78.628364,1.832878
-78.628364,1.800023
-78.715197,1.800023
-78.825498,1.743699
-78.968655,1.633397
-78.992124,1.612276
-78.992124,1.478506
-78.924065,1.412795
-78.881822,1.377592
NA,NA
-78.870088,1.377592
-78.89121,1.311881
-79.001511,1.234435
-79.189258,1.1124
-79.433329,1.013833
-79.585873,0.901185
-79.642197,0.812005
-79.829944,0.823739
NA,NA
-75.683086,9.908338
-75.683086,9.809771
-75.683086,9.666614
-75.69482,9.546925
-75.826243,9.436624
-75.981134,9.415503
-76.147759,9.349791
-76.246327,9.197247
-76.344894,8.988379
-76.544375,8.847568
-76.720387,8.725533
-76.884666,8.650434
-76.908134,8.540133
-76.840076,8.4533
-76.764977,8.420444
-76.764977,8.385242
-76.764977,8.211576
-76.753243,8.056685
-76.786099,7.981586
-76.8964,7.936996
-76.962111,7.981586
-76.98558,8.145865
-77.051291,8.211576
-77.138124,8.342999
-77.248425,8.462687
-77.349339,8.540133
-77.41505,8.650434
-77.447906,8.659822
-77.569942,8.781857
NA,NA
-71.195937,9.938847
-71.109104,9.711204
-71.064515,9.481214
-71.064515,9.32867
-71.085636,9.218368
-71.261649,9.065824
-71.493985,9.021234
-71.616021,9.044703
-71.669998,9.251224
-71.803768,9.492948
-71.93519,9.600903
-71.97978,9.720591
-72.012636,9.875482
NA,NA
-81.803632,7.707007
-81.759042,7.695272
-81.76843,7.707007
-81.878731,7.584971
-81.890465,7.432427
-81.747308,7.298657
-81.726187,7.486404
-81.714452,7.683538
-81.803632,7.707007
NA,NA
-83.038067,9.896604
-82.817465,9.732325
-82.718898,9.678348
NA,NA
-82.718898,9.678348
-82.641452,9.657227
-82.474827,9.535191
-82.37626,9.32867
-82.254224,9.262958
-82.221369,9.316935
-82.155657,9.32867
-82.155657,9.176125
-82.167392,9.011847
-81.935055,9.000113
-81.735574,9.011847
-81.526706,8.86869
-81.284982,8.835834
-81.040911,8.86869
-80.897754,8.955523
-80.733475,9.044703
-80.533994,9.086946
-80.325126,9.176125
-80.092789,9.32867
-80.038812,9.251224
-80.038812,9.065824
NA,NA
-79.907389,8.429832
-80.160847,8.298409
-80.33686,8.253819
-80.435427,8.166986
-80.468283,8.002708
-80.390837,7.871285
-80.259415,7.728128
-80.137379,7.629561
-80.083402,7.486404
-80.203091,7.432427
-80.357982,7.310391
-80.557463,7.223559
-80.766331,7.211824
-80.921222,7.223559
-80.930609,7.310391
-80.954078,7.420693
-80.954078,7.51926
-81.019789,7.629561
-81.064379,7.772718
-81.17468,7.793839
-81.207536,7.683538
-81.228657,7.596705
-81.362427,7.641295
-81.482116,7.772718
-81.592417,7.871285
-81.669862,8.014442
-81.681597,8.014442
-81.693331,8.035563
-81.76843,8.145865
-81.956176,8.188108
-82.188513,8.265553
-82.364526,8.277287
-82.463093,8.331265
-82.617984,8.319531
-82.751753,8.342999
-82.883176,8.319531
-82.916032,8.232698
-82.927766,8.134131
-82.972356,8.113009
-83.026333,8.310143
NA,NA
-83.026333,8.310143
-83.082657,8.354733
-83.1249,8.40871
-83.157756,8.605844
-83.345503,8.704411
-83.479272,8.716146
-83.390093,8.561255
-83.368971,8.474422
-83.544984,8.495543
-83.720996,8.6387
-83.699875,8.8241
-83.720996,9.110414
-83.986189,9.295814
-84.239647,9.436624
-84.394538,9.525804
-84.558817,9.579781
-84.647996,9.678348
-84.701973,9.875482
-84.791153,9.938847
NA,NA
-85.044611,9.983437
-84.967166,9.863748
-85.021143,9.753447
-85.098589,9.645492
-85.232358,9.765181
-85.396637,9.863748
-85.551528,9.875482
-85.694685,9.962315
NA,NA
-79.829944,0.823739
-80.071668,0.746294
-80.104523,0.570281
-80.071668,0.359066
-80.059934,0.171319
NA,NA
-91.383413,0.147851
-91.371679,0.103261
NA,NA
-91.52657,-0.05163
-91.493714,0.037549
-91.406881,0.114995
-91.383413,0.147851
NA,NA
-72.012636,9.875482
NA,NA
-84.791153,9.938847
NA,NA
-85.694685,9.962315
NA,NA
-80.017691,-2.290511
-79.928511,-2.189597
-79.895655,-2.177863
-79.907389,-2.257655
-79.907389,-2.356222
-79.907389,-2.522848
-79.862799,-2.555703
-79.785354,-2.489992
-79.761886,-2.478258
-79.752498,-2.555703
-79.797088,-2.666005
-79.81821,-2.853752
-79.862799,-2.9664
-79.895655,-3.109557
-79.928511,-3.154146
-79.982488,-3.240979
NA,NA
-80.038812,-6.808169
-79.81821,-7.071014
-79.707908,-7.169581
-79.618729,-7.369062
-79.576486,-7.533341
-79.487306,-7.709353
-79.323027,-7.939343
-79.144668,-8.12709
-78.968655,-8.235044
-78.914678,-8.324224
-78.804377,-8.455647
-78.804377,-8.521358
-78.748053,-8.730227
-78.66122,-8.903892
-78.593162,-9.079905
-78.539184,-9.155004
-78.52745,-9.166738
-78.417149,-9.450705
-78.374906,-9.582128
-78.318582,-9.734672
-78.273992,-9.844973
-78.229402,-9.985783
NA,NA
-89.355748,-0.74864
-89.332279,-0.727519
-89.332279,-0.804964
-89.355748,-0.870676
-89.466049,-0.97159
-89.552882,-0.992711
-89.609206,-0.959856
-89.609206,-0.88241
-89.543494,-0.83782
-89.466049,-0.783843
-89.409725,-0.760375
-89.355748,-0.74864
NA,NA
-80.059934,0.171319
-80.137379,-0.018775
-80.29227,-0.218256
-80.402572,-0.361413
-80.423693,-0.516304
-80.402572,-0.682929
